feature_view,feature_view_label,channel,contrast,n_a,n_b,mean_a,mean_b,delta_mean_a_minus_b,mannwhitney_p_value,mannwhitney_q_value_bh_within_view_contrast
all_sampled_tissue,All sampled tissue,CK,low_IHC2_ISH_negative_vs_zero_all,22,61,0.18084750489201307,0.23112647539950218,-0.05027897050748911,0.031460420106388075,0.03486439110170605
all_sampled_tissue,All sampled tissue,CK,low_all_vs_zero_ISH_negative,57,18,0.16735960512351716,0.2335456358614086,-0.06618603073789145,0.0033476128986318797,0.0075432439783175475
all_sampled_tissue,All sampled tissue,CK,low_all_vs_zero_ISH_not_evaluated,57,43,0.16735960512351716,0.23011380357823905,-0.06275419845472188,0.0009662546610920776,0.004719392497621577
all_sampled_tissue,All sampled tissue,CK,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.15888149669760548,0.23011380357823905,-0.07123230688063356,0.0007639639796957892,0.006111711837566314
all_sampled_tissue,All sampled tissue,CK,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.18084750489201307,0.2335456358614086,-0.052698130969395546,0.05883126383147347,0.05883126383147347
all_sampled_tissue,All sampled tissue,Ki67,low_IHC1_any_ISH_vs_zero_all,35,61,0.013330586096558914,0.013305978808584222,2.460728797469211e-05,0.08130283386200174,0.08130283386200174
all_sampled_tissue,All sampled tissue,Ki67,low_IHC2_ISH_negative_vs_zero_all,22,61,0.011884540748778405,0.013305978808584222,-0.0014214380598058171,0.03486439110170605,0.03486439110170605
all_sampled_tissue,All sampled tissue,Ki67,low_all_vs_zero_ISH_negative,57,18,0.012772463330748891,0.013553254524064466,-0.0007807911933155748,0.02434902499779931,0.02434902499779931
all_sampled_tissue,All sampled tissue,Ki67,low_all_vs_zero_ISH_not_evaluated,57,43,0.012772463330748891,0.013202468043964586,-0.0004300047132156943,0.07934110146782651,0.07934110146782651
all_sampled_tissue,All sampled tissue,Ki67,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.013330586096558914,0.013202468043964586,0.00012811805259432818,0.18149496929664732,0.18149496929664732
all_sampled_tissue,All sampled tissue,Ki67,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.011884540748778405,0.013553254524064466,-0.0016687137752860615,0.020102245901695213,0.03216359344271234
qc_cellular_tissue,QC cellular tissue,CD68,low_IHC1_any_ISH_vs_zero_all,35,61,0.021621971845084267,0.025622065248450485,-0.004000093403366219,0.016153403263321837,0.01846103230093924
qc_cellular_tissue,QC cellular tissue,CD68,low_IHC2_ISH_negative_vs_zero_all,22,61,0.018245959744461873,0.025622065248450485,-0.007376105503988612,0.007194379156908277,0.028777516627633108
qc_cellular_tissue,QC cellular tissue,CD68,low_all_vs_zero_ISH_negative,57,18,0.020318949630808956,0.0255278683840141,-0.005208918753205144,0.017518987849676624,0.029971355842129982
qc_cellular_tissue,QC cellular tissue,CD68,low_all_vs_zero_ISH_not_evaluated,57,43,0.020318949630808956,0.02566149649402851,-0.005342546863219555,0.007350792854720184,0.00840090611968021
qc_cellular_tissue,QC cellular tissue,CD68,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.021621971845084267,0.02566149649402851,-0.004039524648944245,0.03488109824077718,0.039864112275173925
qc_cellular_tissue,QC cellular tissue,CD68,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.018245959744461873,0.0255278683840141,-0.007281908639552227,0.020102245901695213,0.04980976587890293
qc_cellular_tissue,QC cellular tissue,PD-L1,low_IHC1_any_ISH_vs_zero_all,35,61,0.05181941421595001,0.06356181042845119,-0.011742396212501179,0.004414249558091744,0.0058856660774556585
qc_cellular_tissue,QC cellular tissue,PD-L1,low_IHC2_ISH_negative_vs_zero_all,22,61,0.047169371228933124,0.06356181042845119,-0.016392439199518063,0.00509125085419835,0.028777516627633108
qc_cellular_tissue,QC cellular tissue,PD-L1,low_all_vs_zero_ISH_negative,57,18,0.05002466078236453,0.06440160111862246,-0.014376940336257929,0.00599980319499295,0.0239992127799718
qc_cellular_tissue,QC cellular tissue,PD-L1,low_all_vs_zero_ISH_not_evaluated,57,43,0.05002466078236453,0.0632102701395423,-0.01318560935717776,0.0031566883614012635,0.00840090611968021
qc_cellular_tissue,QC cellular tissue,PD-L1,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.05181941421595001,0.0632102701395423,-0.011390855923592284,0.013084853799823867,0.01744647173309849
qc_cellular_tissue,QC cellular tissue,PD-L1,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.047169371228933124,0.06440160111862246,-0.017232229889689338,0.010195972019831884,0.04980976587890293
qc_cellular_tissue,QC cellular tissue,PD-1,low_IHC1_any_ISH_vs_zero_all,35,61,0.11154765788117402,0.15434832819896976,-0.04280067031779575,0.0018025604967929153,0.005280464001591699
qc_cellular_tissue,QC cellular tissue,PD-1,low_IHC2_ISH_negative_vs_zero_all,22,61,0.11019067780897872,0.15434832819896976,-0.044157650389991046,0.010982184578648147,0.029285825543061726
